"","D01","D02","D03","D05","D06","D07","D08","D09","D10T12","D13T15","D16","D17T18","D19","D20","D21","D22","D23","D24A","D24B","D25","D26","D27","D28","D29","D301","D302T309","D31T33","D35","D36T39","D41T43","D45T47","D49","D50","D51","D52","D53","D55T56","D58T60","D61","D62T63","D64T66","D68","D69T75","D77T82","D84","D85","D86T88","D90T93","D94T96","D97T98","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO"
"TTL_01",914.2,38.6,0.7,0,0,0,0.3,0,7709,22.5,3,2.4,3.1,145.4,10,7,4.5,2.9,2.8,1.7,0.4,0.4,1.5,2.8,0,0.2,8.3,20.9,2.5,23,209.5,5.7,0.1,0.3,4.5,1,283.8,0.7,0.9,1.6,1.6,8.3,32,68.2,15.8,1.6,25.3,1.5,9.8,0,4909.5,0,7.8,60.1,3.9,91.1,23.9,2430.9,-5058.2
"TTL_02",5.4,26.6,0,0,0,0,0,0,24.7,0.1,173.8,39.4,0.1,2.4,0.2,4.3,3.8,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0,0,3.4,0.6,0.1,30.1,4,0.5,0,0,0.3,0.1,0.4,0.2,0.1,0.4,0.3,4.5,0.7,8.4,0.1,0.1,0.2,0.1,0.1,0,132,0,0.5,1.5,0.1,1,0,156.7,-168.3
"TTL_03",0.7,0,1.8,0,0,0,0,0,7.9,0,0,0,0.1,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,0.1,0.1,0,0.3,0.5,0.4,0.2,0,0.5,0.1,39,0,0,0,0.1,0,0.2,0.1,0.1,0,0.9,0.2,0.2,0,254.8,0,0.4,1.2,0.1,5,1.1,36.5,-189.5
"TTL_05",0,0,0,0,0,0,0.3,0,0.2,0,0,2.9,61.6,0.6,0,0,5.9,78.1,32.4,0,0,0,0,0,0,0,0.2,33.6,0,1.3,0.2,0.2,0,0,0.1,0,0,0,0,0.1,0,0.1,0.1,0.1,1.6,0,0.1,0,0,0,0.7,0,0.1,0.3,0,0.4,0,0,-221.8
"TTL_06",2.1,0.5,0.2,0,0,0,1.9,0.1,2.4,0.2,0.2,6.8,5468,15.3,2.7,0.3,44.8,41.9,37.3,0.4,0.2,0.1,1.3,0.4,0,0.1,1,780.9,1.1,14.4,3.5,14.7,1.7,3.3,9.8,0.9,0.9,0.3,0.3,1.1,1,0.6,2.8,5.2,8.2,0.7,3.6,0.3,0.5,0,34.1,0,3.5,7,0.1,2.6,0,0,-6531
"TTL_07",0.3,0,0,0,0,0,1.2,0,0.7,0.2,0.2,0.2,5.3,204.6,0.4,1,21.6,481.9,953,15.3,0.8,4.5,2.6,0.7,0,0.2,1.7,0.2,0.1,51.1,1,0.1,0,0,0.2,0,0.1,0.1,0,0.2,0.3,0.7,1.2,5.1,0.3,0,0.4,0.1,0.1,0,1.9,0,0.2,1.5,0,1.1,0,0,-1762.2
"TTL_08",3.6,0.1,0,0,0,0,39.9,0,53.4,2.3,1.2,21.1,6.6,183.9,3.2,5.7,257.9,4.4,5.5,2,0.4,4,0.8,1.1,0,0.1,176.5,1.5,15.5,645.7,18.1,0.8,0.2,0.1,1.5,0.3,0.9,0.6,0.3,1.2,3,62.1,12.1,25.8,3.8,0.3,3.5,0.6,8.7,0,14.7,0,0.5,6.1,-0.3,0.7,0.1,432.4,-1172.6
"TTL_09",0.1,0,0,0,0,0,5.2,0.6,0.5,0,0.1,0.1,3.2,8,0.7,0.1,18.8,0.3,0.4,0.2,0,0,0.2,0.1,0,0,0.5,28.2,1.9,152,0.8,0.4,0,0.1,0.4,0.1,0.1,0.1,0.1,0.3,0.3,0.2,1.3,0.7,0.2,0.1,0.2,0.1,0.1,0,1.8,0,0.3,1.4,0,0.4,0,10.1,-230.1
"TTL_10T12",1854.2,1.8,3.9,0,0,0,2.2,0,8656.2,22.4,15.9,28.9,86.5,601.6,75.4,55.3,26.1,33,26.5,42,8.8,9.8,28.7,21,0,4.9,35.9,33.5,29,195.3,385.4,32.3,2.4,22,66.3,6,2403.8,24.6,14.1,30.9,65.2,33.1,230.7,103.3,233.2,64.8,566.9,114.8,36.9,0,24848.7,0.3,45.5,201.2,24.2,295.2,144.4,18949.1,-11926.5
"TTL_13T15",9.8,0.1,13.6,0,0,0,0.4,0,43.5,792.5,3.1,72.1,29.2,66.5,10.5,67.6,33.9,7.9,8.2,27.8,1.6,2,7.9,121.3,0,1.5,141.6,1.1,14,164.7,37.3,3,0.3,0.9,16.1,0.4,10.7,10.3,1.1,1.7,2,25.5,45.2,53.1,25.8,3.4,91.3,2.2,57.8,0,3962.7,0,6.4,27.9,5.2,115.8,13.4,2819.1,-4566.9
