"","notation","id","numeric_order"
"1","CPA_A","A",100100
"2","CPA_A01","A01",100200
"3","CPA_A02","A02",100300
"4","CPA_A03","A03",100400
"5","CPA_B","B",100500
"6","CPA_B_C","B_C",101500
"7","CPA_B_C_X_FD_MIG_NRG","B_C_X_FD_MIG_NRG",101600
"8","CPA_B_C_X_FOOD","B_C_X_FOOD",101700
"9","CPA_B_C_X_MIG_NRG","B_C_X_MIG_NRG",101800
"10","CPA_B05","B05",101000
"11","CPA_B06","B06",101100
"12","CPA_B07","B07",101200
"13","CPA_B08","B08",101300
"14","CPA_B09","B09",101400
"15","CPA_B-D","B-D",100600
"16","CPA_B-D_X_FOOD","B-D_X_FOOD",100700
"17","CPA_B-E","B-E",100750
"18","CPA_B-E36","B-E36",100800
"19","CPA_B-E36_X_FOOD","B-E36_X_FOOD",100900
"20","CPA_C","C",101900
"21","CPA_C10","C10",102000
"22","CPA_C10-12","C10-12",102050
"23","CPA_C11","C11",102100
"24","CPA_C12","C12",102200
"25","CPA_C13","C13",102300
"26","CPA_C13-15","C13-15",102350
"27","CPA_C14","C14",102400
"28","CPA_C15","C15",102500
"29","CPA_C16","C16",102550
"30","CPA_C16","C16",102600
"31","CPA_C16-18","C16-18",102650
"32","CPA_C17","C17",102700
"33","CPA_C18","C18",102750
"34","CPA_C18","C18",102800
"35","CPA_C19","C19",102900
"36","CPA_C20","C20",103000
"37","CPA_C20_21","C20_21",103050
"38","CPA_C21","C21",103100
"39","CPA_C22","C22",103200
"40","CPA_C22_23","C22_23",103250
"41","CPA_C23","C23",103300
"42","CPA_C24","C24",103400
"43","CPA_C24_25","C24_25",10450
"44","CPA_C25","C25",103500
"45","CPA_C26","C26",103600
"46","CPA_C27","C27",103700
"47","CPA_C28","C28",103800
"48","CPA_C29","C29",103900
"49","CPA_C29_30","C29_30",103950
"50","CPA_C30","C30",104000
"51","CPA_C31","C31",104100
"52","CPA_C31_32","C31_32",104130
"53","CPA_C31-33","C31-33",104160
"54","CPA_C32","C32",104200
"55","CPA_C33","C33",104300
"56","CPA_D","D",104400
"57","CPA_D_E","D_E",104450
"58","CPA_D35","D35",104500
"59","CPA_E","E",104600
"60","CPA_E36","E36",104700
"61","CPA_E37","E37",104800
"62","CPA_E37-39","E37-39",104850
"63","CPA_E38","E38",104900
"64","CPA_E39","E39",105000
"65","CPA_F","F",105100
"66","CPA_F41","F41",105200
"67","CPA_F42","F42",105300
"68","CPA_F43","F43",105400
"69","CPA_G","G",105500
"70","CPA_G45","G45",105600
"71","CPA_G46","G46",105700
"72","CPA_G47","G47",105800
"73","CPA_G-I","G-I",105800
"74","CPA_H","H",105900
