t_rows2,t_rows2_lab,iotables_label_r,ordering_r
CPA_A01,"Products of agriculture, hunting and related services",agriculture,1
A01,"Crop and animal production, hunting and related service activities",agriculture,1
CPA_A02,"Products of forestry, logging and related services",forestry,2
A02,Forestry and logging,forestry,2
CPA_A03,Fish and other fishing products; aquaculture products; support services to fishing,fishing,3
A03,Fishing and aquaculture,fishing,3
CPA_B,Mining and quarrying,mining,4
B,Mining and quarrying,mining,4
CPA_C10-C12,"Food, beverages and tobacco products",food_beverages_tobacco,5
C10-12,Manufacture of food products; beverages and tobacco products,food_beverages_tobacco,5
CPA_C13-C15,"Textiles, wearing apparel, leather and related products",textiles_apparel,6
C13-15,"Manufacture of textiles, wearing apparel, leather and related products",textiles_apparel,6
CPA_C16,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",wood_products,7
C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",wood_products,7
CPA_C17,Paper and paper products,paper_products,8
C17,Manufacture of paper and paper products,paper,8
CPA_C18,Printing and recording services,printing_recording,9
C18,Printing and reproduction of recorded media,printing_recording,9
CPA_C19,Coke and refined petroleum products,coke_refined_petrol,10
C19,Manufacture of coke and refined petroleum products,coke_refined_petrol,10
CPA_C20,Chemicals and chemical products,chemical,11
C20,Manufacture of chemicals and chemical products,chemical,11
CPA_C21,Basic pharmaceutical products and pharmaceutical preparations,basic_pharmaceutical,12
C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,basic_pharmaceutical,12
CPA_C22,Rubber and plastic products,rubber_plasic,13
C22,Manufacture of rubber and plastic products,rubber_plasic,13
CPA_C23,Other non-metallic mineral products,mineral_products,14
C23,Manufacture of other non-metallic mineral products,mineral_products,14
CPA_C24,Basic metals,basic_metals,15
C24,Manufacture of basic metals,basic_metals,15
CPA_C25,"Fabricated metal products, except machinery and equipment",fabricated_metal,16
C25,"Manufacture of fabricated metal products, except machinery and equipment",fabricated_metal,16
CPA_C26,"Computer, electronic and optical products",computer_electronic_optical,17
C26,"Manufacture of computer, electronic and optical products",computer_electronic_optical,17
CPA_C27,Electrical equipment,electrical_equipment,18
C27,Manufacture of electrical equipment,electrical_equipment,18
CPA_C28,Machinery and equipment n.e.c.,machinery,19
